"Edificio","anyoConstruccion","zonaClimatica","perteneceEdificio","procedimiento","fechaCertif","tieneTipoEnergia","tipoElectricidadPeninsular","emisionesCO2","energiaPrimNoRenove","calEnePrinNoRenovGlobal","calDemandaCalefaccion","calEmiCO2Calefaccion"
"http://127.0.0.1;3333/CEE.es/datosgob/resource/Edificio_124602","2023","D1","124602","CE3X","30/05/2023","108","ElectricidadPeninsular_Global: 48.72;Calefacción: 13.51;Refrigeración: 3.45;ACS: 5.52;Iluminación: 26.25 ","Global: 16.13;Calefacción: 4.47;Refrigeración: 1.14;ACS: 1.83;Iluminación: 8.69;Cons.Eléctrico: 16.13;Cons.Otros: 0.00;Tot.Cons.Electrico: 1822.14;Tot.Cons.Otros: 0.12 ","Global: 95.21;Calefacción: 26.40;Refrigeración: 6.74;ACS: 10.78;Iluminación: 51.29 ","A","A","A"
"http://127.0.0.1;3333/CEE.es/datosgob/resource/Edificio_127198","2023","D1","127198","CYPETHERM","02/06/2023","269","ElectricidadPeninsular_Global: 15.92;Calefacción: 9.53;Refrigeración: 0.08;ACS: 6.3;Iluminación: 0 ","Global: 6.08;Calefacción: 3.16;Refrigeración: 0.03;ACS: 2.09;Iluminación: ;Cons.Eléctrico: 6.08;Cons.Otros: 0;Tot.Cons.Electrico: 896.59;Tot.Cons.Otros: 0 ","Global: 35.92;Calefacción: 18.63;Refrigeración: 0.16;ACS: 12.32;Iluminación:  ","A","A","A"
"http://127.0.0.1;3333/CEE.es/datosgob/resource/Edificio_127258","2023","D1","127258","CE3X","05/06/2023","210","ElectricidadPeninsular_Global: -1.17;Calefacción: 4.81;Refrigeración: 1.17;ACS: 3.80;Iluminación: 0.00 ","Global: 0.00;Calefacción: 1.59;Refrigeración: 0.39;ACS: 1.26;Iluminación: 0.00;Cons.Eléctrico: 0.00;Cons.Otros: 0.00;Tot.Cons.Electrico: 0.00;Tot.Cons.Otros: 0.00 ","Global: 0.00;Calefacción: 9.39;Refrigeración: 2.28;ACS: 7.42;Iluminación: 0.00 ","A","A","A"
"http://127.0.0.1;3333/CEE.es/datosgob/resource/Edificio_127307","2023","D1","127307","CE3X","06/06/2023","166","ElectricidadPeninsular_Global: 13.23;Calefacción: 6.63;Refrigeración: 0.21;ACS: 6.38;Iluminación: 0.00 ","Global: 4.38;Calefacción: 2.20;Refrigeración: 0.07;ACS: 2.11;Iluminación: 0.00;Cons.Eléctrico: 4.38;Cons.Otros: 0.00;Tot.Cons.Electrico: 394.04;Tot.Cons.Otros: 0.00 ","Global: 25.85;Calefacción: 12.96;Refrigeración: 0.42;ACS: 12.47;Iluminación: 0.00 ","A","A","A"
"http://127.0.0.1;3333/CEE.es/datosgob/resource/Edificio_127309","2023","D1","127309","CE3X","06/06/2023","164","ElectricidadPeninsular_Global: 13.23;Calefacción: 6.63;Refrigeración: 0.21;ACS: 6.38;Iluminación: 0.00 ","Global: 4.38;Calefacción: 2.20;Refrigeración: 0.07;ACS: 2.11;Iluminación: 0.00;Cons.Eléctrico: 4.38;Cons.Otros: 0.00;Tot.Cons.Electrico: 394.04;Tot.Cons.Otros: 0.00 ","Global: 25.85;Calefacción: 12.96;Refrigeración: 0.42;ACS: 12.47;Iluminación: 0.00 ","A","A","A"
"http://127.0.0.1;3333/CEE.es/datosgob/resource/Edificio_127310","2023","D1","127310","CE3X","06/06/2023","163","ElectricidadPeninsular_Global: 13.23;Calefacción: 6.63;Refrigeración: 0.21;ACS: 6.38;Iluminación: 0.00 ","Global: 4.38;Calefacción: 2.20;Refrigeración: 0.07;ACS: 2.11;Iluminación: 0.00;Cons.Eléctrico: 4.38;Cons.Otros: 0.00;Tot.Cons.Electrico: 394.04;Tot.Cons.Otros: 0.00 ","Global: 25.85;Calefacción: 12.96;Refrigeración: 0.42;ACS: 12.47;Iluminación: 0.00 ","A","A","A"
"http://127.0.0.1;3333/CEE.es/datosgob/resource/Edificio_127312","2023","D1","127312","CE3X","06/06/2023","161","ElectricidadPeninsular_Global: 13.23;Calefacción: 6.63;Refrigeración: 0.21;ACS: 6.38;Iluminación: 0.00 ","Global: 4.38;Calefacción: 2.20;Refrigeración: 0.07;ACS: 2.11;Iluminación: 0.00;Cons.Eléctrico: 4.38;Cons.Otros: 0.00;Tot.Cons.Electrico: 394.04;Tot.Cons.Otros: 0.00 ","Global: 25.85;Calefacción: 12.96;Refrigeración: 0.42;ACS: 12.47;Iluminación: 0.00 ","A","A","A"
"http://127.0.0.1;3333/CEE.es/datosgob/resource/Edificio_127313","2023","D1","127313","CE3X","06/06/2023","160","ElectricidadPeninsular_Global: 13.23;Calefacción: 6.63;Refrigeración: 0.21;ACS: 6.38;Iluminación: 0.00 ","Global: 4.38;Calefacción: 2.20;Refrigeración: 0.07;ACS: 2.11;Iluminación: 0.00;Cons.Eléctrico: 4.38;Cons.Otros: 0.00;Tot.Cons.Electrico: 394.04;Tot.Cons.Otros: 0.00 ","Global: 25.85;Calefacción: 12.96;Refrigeración: 0.42;ACS: 12.47;Iluminación: 0.00 ","A","A","A"
"http://127.0.0.1;3333/CEE.es/datosgob/resource/Edificio_127314","2023","D1","127314","CE3X","06/06/2023","159","ElectricidadPeninsular_Global: 13.23;Calefacción: 6.63;Refrigeración: 0.21;ACS: 6.38;Iluminación: 0.00 ","Global: 4.38;Calefacción: 2.20;Refrigeración: 0.07;ACS: 2.11;Iluminación: 0.00;Cons.Eléctrico: 4.38;Cons.Otros: 0.00;Tot.Cons.Electrico: 394.04;Tot.Cons.Otros: 0.00 ","Global: 25.85;Calefacción: 12.96;Refrigeración: 0.42;ACS: 12.47;Iluminación: 0.00 ","A","A","A"
"http://127.0.0.1;3333/CEE.es/datosgob/resource/Edificio_127315","2023","D1","127315","CE3X","06/06/2023","158","ElectricidadPeninsular_Global: 13.23;Calefacción: 6.63;Refrigeración: 0.21;ACS: 6.38;Iluminación: 0.00 ","Global: 4.38;Calefacción: 2.20;Refrigeración: 0.07;ACS: 2.11;Iluminación: 0.00;Cons.Eléctrico: 4.38;Cons.Otros: 0.00;Tot.Cons.Electrico: 394.04;Tot.Cons.Otros: 0.00 ","Global: 25.85;Calefacción: 12.96;Refrigeración: 0.42;ACS: 12.47;Iluminación: 0.00 ","A","A","A"
"http://127.0.0.1;3333/CEE.es/datosgob/resource/Edificio_127316","2023","D1","127316","CE3X","06/06/2023","157","ElectricidadPeninsular_Global: 13.23;Calefacción: 6.63;Refrigeración: 0.21;ACS: 6.38;Iluminación: 0.00 ","Global: 4.38;Calefacción: 2.20;Refrigeración: 0.07;ACS: 2.11;Iluminación: 0.00;Cons.Eléctrico: 4.38;Cons.Otros: 0.00;Tot.Cons.Electrico: 394.04;Tot.Cons.Otros: 0.00 ","Global: 25.85;Calefacción: 12.96;Refrigeración: 0.42;ACS: 12.47;Iluminación: 0.00 ","A","A","A"
"http://127.0.0.1;3333/CEE.es/datosgob/resource/Edificio_127317","2023","D1","127317","CE3X","06/06/2023","156","ElectricidadPeninsular_Global: 13.23;Calefacción: 6.63;Refrigeración: 0.21;ACS: 6.38;Iluminación: 0.00 ","Global: 4.38;Calefacción: 2.20;Refrigeración: 0.07;ACS: 2.11;Iluminación: 0.00;Cons.Eléctrico: 4.38;Cons.Otros: 0.00;Tot.Cons.Electrico: 394.04;Tot.Cons.Otros: 0.00 ","Global: 25.85;Calefacción: 12.96;Refrigeración: 0.42;ACS: 12.47;Iluminación: 0.00 ","A","A","A"
"http://127.0.0.1;3333/CEE.es/datosgob/resource/Edificio_127318","2023","D1","127318","CE3X","06/06/2023","155","ElectricidadPeninsular_Global: 13.23;Calefacción: 6.63;Refrigeración: 0.21;ACS: 6.38;Iluminación: 0.00 ","Global: 4.38;Calefacción: 2.20;Refrigeración: 0.07;ACS: 2.11;Iluminación: 0.00;Cons.Eléctrico: 4.38;Cons.Otros: 0.00;Tot.Cons.Electrico: 394.04;Tot.Cons.Otros: 0.00 ","Global: 25.85;Calefacción: 12.96;Refrigeración: 0.42;ACS: 12.47;Iluminación: 0.00 ","A","A","A"
"http://127.0.0.1;3333/CEE.es/datosgob/resource/Edificio_127319","2023","D1","127319","CE3X","06/06/2023","154","ElectricidadPeninsular_Global: 13.23;Calefacción: 6.63;Refrigeración: 0.21;ACS: 6.38;Iluminación: 0.00 ","Global: 4.38;Calefacción: 2.20;Refrigeración: 0.07;ACS: 2.11;Iluminación: 0.00;Cons.Eléctrico: 4.38;Cons.Otros: 0.00;Tot.Cons.Electrico: 394.04;Tot.Cons.Otros: 0.00 ","Global: 25.85;Calefacción: 12.96;Refrigeración: 0.42;ACS: 12.47;Iluminación: 0.00 ","A","A","A"
"http://127.0.0.1;3333/CEE.es/datosgob/resource/Edificio_127320","2023","D1","127320","CE3X","06/06/2023","153","ElectricidadPeninsular_Global: 13.23;Calefacción: 6.63;Refrigeración: 0.21;ACS: 6.38;Iluminación: 0.00 ","Global: 4.38;Calefacción: 2.20;Refrigeración: 0.07;ACS: 2.11;Iluminación: 0.00;Cons.Eléctrico: 4.38;Cons.Otros: 0.00;Tot.Cons.Electrico: 394.04;Tot.Cons.Otros: 0.00 ","Global: 25.85;Calefacción: 12.96;Refrigeración: 0.42;ACS: 12.47;Iluminación: 0.00 ","A","A","A"
"http://127.0.0.1;3333/CEE.es/datosgob/resource/Edificio_127321","2023","D1","127321","CE3X","06/06/2023","152","ElectricidadPeninsular_Global: 13.23;Calefacción: 6.63;Refrigeración: 0.21;ACS: 6.38;Iluminación: 0.00 ","Global: 4.38;Calefacción: 2.20;Refrigeración: 0.07;ACS: 2.11;Iluminación: 0.00;Cons.Eléctrico: 4.38;Cons.Otros: 0.00;Tot.Cons.Electrico: 394.04;Tot.Cons.Otros: 0.00 ","Global: 25.85;Calefacción: 12.96;Refrigeración: 0.42;ACS: 12.47;Iluminación: 0.00 ","A","A","A"
"http://127.0.0.1;3333/CEE.es/datosgob/resource/Edificio_127324","2023","D1","127324","CE3X","06/06/2023","149","ElectricidadPeninsular_Global: 13.23;Calefacción: 6.63;Refrigeración: 0.21;ACS: 6.38;Iluminación: 0.00 ","Global: 4.38;Calefacción: 2.20;Refrigeración: 0.07;ACS: 2.11;Iluminación: 0.00;Cons.Eléctrico: 4.38;Cons.Otros: 0.00;Tot.Cons.Electrico: 394.04;Tot.Cons.Otros: 0.00 ","Global: 25.85;Calefacción: 12.96;Refrigeración: 0.42;ACS: 12.47;Iluminación: 0.00 ","A","A","A"
"http://127.0.0.1;3333/CEE.es/datosgob/resource/Edificio_127325","2023","D1","127325","CE3X","06/06/2023","148","ElectricidadPeninsular_Global: 13.23;Calefacción: 6.63;Refrigeración: 0.21;ACS: 6.38;Iluminación: 0.00 ","Global: 4.38;Calefacción: 2.20;Refrigeración: 0.07;ACS: 2.11;Iluminación: 0.00;Cons.Eléctrico: 4.38;Cons.Otros: 0.00;Tot.Cons.Electrico: 394.04;Tot.Cons.Otros: 0.00 ","Global: 25.85;Calefacción: 12.96;Refrigeración: 0.42;ACS: 12.47;Iluminación: 0.00 ","A","A","A"
"http://127.0.0.1;3333/CEE.es/datosgob/resource/Edificio_127326","2023","D1","127326","CE3X","06/06/2023","147","ElectricidadPeninsular_Global: 13.23;Calefacción: 6.63;Refrigeración: 0.21;ACS: 6.38;Iluminación: 0.00 ","Global: 4.38;Calefacción: 2.20;Refrigeración: 0.07;ACS: 2.11;Iluminación: 0.00;Cons.Eléctrico: 4.38;Cons.Otros: 0.00;Tot.Cons.Electrico: 394.04;Tot.Cons.Otros: 0.00 ","Global: 25.85;Calefacción: 12.96;Refrigeración: 0.42;ACS: 12.47;Iluminación: 0.00 ","A","A","A"
"http://127.0.0.1;3333/CEE.es/datosgob/resource/Edificio_127327","2023","D1","127327","CE3X","06/06/2023","146","ElectricidadPeninsular_Global: 13.23;Calefacción: 6.63;Refrigeración: 0.21;ACS: 6.38;Iluminación: 0.00 ","Global: 4.38;Calefacción: 2.20;Refrigeración: 0.07;ACS: 2.11;Iluminación: 0.00;Cons.Eléctrico: 4.38;Cons.Otros: 0.00;Tot.Cons.Electrico: 394.04;Tot.Cons.Otros: 0.00 ","Global: 25.85;Calefacción: 12.96;Refrigeración: 0.42;ACS: 12.47;Iluminación: 0.00 ","A","A","A"